Tyè 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
572,1297098;0,705614568;;591,5256032;605,46875;0,60546875;;542,523644;0,658640227;;;;;;;;;;;;;;;;;;;;;;;
572,0497737;0,711305008;;590,7506626;610,3515625;0,610351563;;542,4350847;0,663951841;;;;;;;;;;;;;;;;;;;;;;;
572,510128;0,716995448;;586,0429637;615,234375;0,615234375;;542,4991475;0,669263456;;;;;;;;;;;;;;;;;;;;;;;
572,9335391;0,722685888;;586,3455255;620,1171875;0,620117188;;542,5859238;0,674575071;;;;;;;;;;;;;;;;;;;;;;;
573,0321503;0,728376328;;585,6597806;625;0,625;;538,8551734;0,679886686;;;;;;;;;;;;;;;;;;;;;;;
573,5564408;0,734066768;;585,3324611;629,8828125;0,629882813;;539,1774542;0,6851983;;;;;;;;;;;;;;;;;;;;;;;
573,7632424;0,739757208;;585,2573062;634,765625;0,634765625;;539,7591262;0,690509915;;;;;;;;;;;;;;;;;;;;;;;
573,9403419;0,745447648;;585,2783374;639,6484375;0,639648438;;540,0196024;0,69582153;;;;;;;;;;;;;;;;;;;;;;;
570,6212007;0,751138088;;585,2354171;644,53125;0,64453125;;539,7292647;0,701133144;;;;;;;;;;;;;;;;;;;;;;;
571,5819069;0,756828528;;584,7437064;649,4140625;0,649414063;;539,4709582;0,706444759;;;;;;;;;;;;;;;;;;;;;;;
572,5295491;0,762518968;;584,7496592;654,296875;0,654296875;;539,2370956;0,711756374;;;;;;;;;;;;;;;;;;;;;;;
572,9796665;0,768209408;;584,5935773;659,1796875;0,659179688;;539,068912;0,717067989;;;;;;;;;;;;;;;;;;;;;;;
573,5284131;0,773899848;;584,6588366;664,0625;0,6640625;;538,8602266;0,722379603;;;;;;;;;;;;;;;;;;;;;;;
573,8568357;0,779590288;;584,4212875;668,9453125;0,668945313;;539,1205421;0,727691218;;;;;;;;;;;;;;;;;;;;;;;
574,5049524;0,785280728;;588,1237854;673,828125;0,673828125;;539,1958531;0,733002833;;;;;;;;;;;;;;;;;;;;;;;
574,9154391;0,790971168;;588,0466133;678,7109375;0,678710938;;539,3932628;0,738314448;;;;;;;;;;;;;;;;;;;;;;;
575,2591731;0,796661608;;588,010409;683,59375;0,68359375;;539,4928088;0,743626062;;;;;;;;;;;;;;;;;;;;;;;
575,1315963;0,802352049;;587,7628224;688,4765625;0,688476563;;539,5239555;0,748937677;;;;;;;;;;;;;;;;;;;;;;;
574,7848042;0,808042489;;587,9068813;693,359375;0,693359375;;539,790855;0,754249292;;;;;;;;;;;;;;;;;;;;;;;
574,4083769;0,813732929;;587,9440042;698,2421875;0,698242188;;539,9949833;0,759560907;;;;;;;;;;;;;;;;;;;;;;;
574,7518318;0,819423369;;588,1369468;703,125;0,703125;;539,6608377;0,764872521;;;;;;;;;;;;;;;;;;;;;;;
574,5974662;0,825113809;;588,2444967;708,0078125;0,708007813;;539,4577095;0,770184136;;;;;;;;;;;;;;;;;;;;;;;
575,3954677;0,830804249;;588,3323753;712,890625;0,712890625;;539,4164787;0,775495751;;;;;;;;;;;;;;;;;;;;;;;
575,8551099;0,836494689;;588,3015923;717,7734375;0,717773438;;539,2077424;0,780807365;;;;;;;;;;;;;;;;;;;;;;;
576,4879102;0,842185129;;588,1906476;722,65625;0,72265625;;538,8056398;0,78611898;;;;;;;;;;;;;;;;;;;;;;;
576,3774527;0,847875569;;583,8042217;727,5390625;0,727539063;;538,4682338;0,791430595;;;;;;;;;;;;;;;;;;;;;;;
575,70432;0,853566009;;584,0109592;732,421875;0,732421875;;538,4455641;0,79674221;;;;;;;;;;;;;;;;;;;;;;;
571,1239691;0,859256449;;584,0292377;737,3046875;0,737304688;;538,2681628;0,802053824;;;;;;;;;;;;;;;;;;;;;;;
570,9328582;0,864946889;;584,0152367;742,1875;0,7421875;;538,5428196;0,807365439;;;;;;;;;;;;;;;;;;;;;;;
570,8830439;0,870637329;;584,1366107;747,0703125;0,747070313;;538,5231353;0,812677054;;;;;;;;;;;;;;;;;;;;;;;
571,2266462;0,876327769;;583,7100654;751,953125;0,751953125;;538,5624669;0,817988669;;;;;;;;;;;;;;;;;;;;;;;
575,5977354;0,882018209;;583,4161283;756,8359375;0,756835938;;538,1320159;0,823300283;;;;;;;;;;;;;;;;;;;;;;;
575,9352493;0,887708649;;583,4281079;761,71875;0,76171875;;541,9097972;0,828611898;;;;;;;;;;;;;;;;;;;;;;;
575,9882059;0,89339909;;583,690469;766,6015625;0,766601563;;541,7971082;0,833923513;;;;;;;;;;;;;;;;;;;;;;;
575,799242;0,89908953;;583,1546663;771,484375;0,771484375;;541,5511747;0,839235127;;;;;;;;;;;;;;;;;;;;;;;
575,9646708;0,90477997;;582,5288094;776,3671875;0,776367188;;541,4014752;0,844546742;;;;;;;;;;;;;;;;;;;;;;;
575,8078115;0,91047041;;582,2529442;781,25;0,78125;;541,2857894;0,849858357;;;;;;;;;;;;;;;;;;;;;;;
575,6609172;0,91616085;;586,6998665;786,1328125;0,786132813;;541,0937163;0,855169972;;;;;;;;;;;;;;;;;;;;;;;
575,3196969;0,92185129;;586,515522;791,015625;0,791015625;;541,2100662;0,860481586;;;;;;;;;;;;;;;;;;;;;;;
575,5160706;0,92754173;;585,9557884;795,8984375;0,795898438;;537,6608716;0,865793201;;;;;;;;;;;;;;;;;;;;;;;
575,7717899;0,93323217;;585,9822847;800,78125;0,80078125;;538,028767;0,871104816;;;;;;;;;;;;;;;;;;;;;;;
575,674205;0,93892261;;585,3301258;805,6640625;0,805664063;;538,7675184;0,876416431;;;;;;;;;;;;;;;;;;;;;;;
575,8276886;0,94461305;;585,16384;810,546875;0,810546875;;538,8470266;0,881728045;;;;;;;;;;;;;;;;;;;;;;;
